"Input Type (Text, audio, text+audio)",Expected Text,Expected Text Audio,"Level (N1,N2,N3)",¿Expected answer? (Yes/No),Date,Text Input,Transcribed Audio Text,ASR time,WER,RAG Answer,Procedure,RAG Status,RAG Error Menssage,¿Answer Correct?(Yes/No),RAG Time,RAG Avg Score,RAG Pages,TTS Time,Total time
Text,History of Art,nan,N1,No,12/10/2025,History of Art,,,,The question does not match with the context provided.,,no_match,,,0.408,1.9033,"[5.0, 2.0, 5.0]",0.074,0.482
Text,Learning Guitar,nan,N1,No,12/10/2025,Learning Guitar,,,,The question does not match with the context provided.,,no_match,,,0.467,1.9,"[4.0, 5.0, 2.0]",0.073,0.54
Text,Latest Movie Reviews,nan,N1,No,12/10/2025,Latest Movie Reviews,,,,The question does not match with the context provided.,,no_match,,,0.49,1.78,"[11.0, 8.0, 5.0]",0.075,0.565
Text,What are the steps for the preflight procedure?,nan,N2,Yes,12/10/2025,What are the steps for the preflight procedure?,,,,"**Procedure:**

PREFLIGHT PROCEDURE

**Conditions:**

Aircraft is on ground and secured before flight.

**Steps:**

1. The aircraft documents are checked.

2. The circuit breakers are confirmed in normal position.

3. The battery switches are set to ON.

4. The external power is connected if available.

5. The ADIRS selectors are set to NAV.

6. The oxygen pressure is checked.

**Notes:**

Ensure all required equipment is onboard and serviceable.",PREFLIGHT PROCEDURE,success,,,1.709,0.6933,"[1.0, 1.0, 3.0]",0.914,2.623
Text,How do I perform the cockpit preparation?,nan,N2,Yes,12/10/2025,How do I perform the cockpit preparation?,,,,"**Procedure:**

COCKPIT PREPARATION

**Conditions:**

Before engine start.

**Steps:**

1. The overhead panel is checked.

2. The fuel quantity is checked.

3. The flight plan is entered into the MCDU.

4. The flight instruments are checked and set.

5. The takeoff performance data is inserted.

6. The briefing is completed.

**Notes:**

All systems must be set according to the flight crew operating manual.",COCKPIT PREPARATION,success,,,1.557,0.81,"[1.0, 4.0, 5.0]",1.06,2.616
Text,What is the procedure for engine start?,nan,N2,Yes,12/10/2025,What is the procedure for engine start?,,,,"**Procedure:**

ENGINE START

**Conditions:**

Aircraft ready for engine start.

**Steps:**

1. The beacon light is set to ON.

2. The parking brake is set.

3. The engine mode selector is set to IGN/START.

4. The engine master switch is set to ON for the engine to be started.

5. Engine parameters are monitored until stabilized.

**Notes:**

Ground crew is informed before start.",ENGINE START,success,,,1.508,0.8933,"[2.0, 1.0, 2.0]",0.844,2.353
Text,Explain the 'Before Taxi' procedure.,nan,N2,Yes,12/10/2025,Explain the 'Before Taxi' procedure.,,,,"**Procedure:**

BEFORE TAXI

**Conditions:**

Engines stabilized and ready to taxi.

**Steps:**

1. The ground equipment is cleared.

2. The flaps are set for takeoff.

3. The flight controls are checked.

4. The flight instruments are cross-checked.

5. The taxi clearance is obtained.

**Notes:**

1. Brake check must be performed as soon as aircraft moves.

2. If the fire continues, an evacuation is considered.",BEFORE TAXI,success,,,1.639,0.7967,"[2.0, 2.0, 6.0]",1.214,2.853
Text,What actions are required during the taxi procedure?,nan,N2,Yes,12/10/2025,What actions are required during the taxi procedure?,,,,"**Procedure:**

TAXİ

**Conditions:**

Taxi clearance received.

**Steps:**

1. The taxi lights are set ON.

2. The brakes are checked.

3. The nose wheel steering is confirmed operative.

4. The taxi route is followed as cleared.

**Notes:**

Taxi speed is limited according to airport procedures.",TAXİ,success,,,1.279,0.67,"[2.0, 2.0, 5.0]",1.002,2.281
Text,What must be done before takeoff?,nan,N2,Yes,12/10/2025,What must be done before takeoff?,,,,"**Procedure:**

BEFORE TAKEOFF

**Conditions:**

Lined up or ready for takeoff clearance.

**Steps:**

1. The cabin is secured.

2. The takeoff runway is confirmed.

3. The TCAS is set to TA/RA.

4. The packs are set according to requirement.

5. The flight attendants are advised.

**Notes:**

Final takeoff checklist is completed.",BEFORE TAKEOFF,success,,,1.516,0.7267,"[3.0, 3.0, 2.0]",0.872,2.388
Text,Describe the takeoff procedure.,nan,N2,Yes,12/10/2025,Describe the takeoff procedure.,,,,"**Procedure:**

TAKEOFF

**Conditions:**

Takeoff clearance received.

**Steps:**

1. The thrust levers are set to TOGA or FLEX.

2. The aircraft is maintained on centerline.

3. Rotation is performed at VR.

4. Positive climb is confirmed.

5. The landing gear is retracted.

**Notes:**

Monitor engine and flight parameters continuously.",TAKEOFF,success,,,1.484,0.64,"[3.0, 9.0, 3.0]",1.264,2.748
Text,What is the after takeoff and climb procedure?,nan,N2,Yes,12/10/2025,What is the after takeoff and climb procedure?,,,,"**Procedure:**

AFTER TAKEOFF AND CLIMB

**Conditions:**

After initial climb out.

**Steps:**

1. The landing gear is retracted.

2. The flaps and slats are retracted on schedule.

3. The climb thrust is set.

4. The autopilot is engaged if desired.

5. The after takeoff checklist is completed.

**Notes:**

Transition altitude is observed for setting standard pressure.",AFTER TAKEOFF AND CLIMB,success,,,1.494,0.6367,"[3.0, 3.0, 8.0]",1.09,2.585
Text,What are the crew's duties during cruise?,nan,N2,Yes,12/10/2025,What are the crew's duties during cruise?,,,,The question does not match with the context provided.,,no_match,,,0.724,1.1433,"[4.0, 1.0, 9.0]",0.075,0.799
Text,How do you prepare for descent?,nan,N2,Yes,12/10/2025,How do you prepare for descent?,,,,"**Procedure:**

DESCENT PREPARATION

**Conditions:**

Aircraft approaching top of descent.

**Steps:**

1. The descent clearance is obtained.

2. The STAR and approach are reviewed and inserted.

3. The landing performance is calculated.

4. The briefing is completed.

5. The seat belt signs are set ON.

**Notes:**

Weather and ATIS information is obtained in advance.",DESCENT PREPARATION,success,,,1.518,0.9767,"[4.0, 11.0, 3.0]",0.756,2.274
Text,Explain the approach procedure.,nan,N2,Yes,12/10/2025,Explain the approach procedure.,,,,"**Procedure:**

APPROACH

**Conditions:**

Aircraft established on approach path.

**Steps:**

1. The approach mode is armed.

2. The navigation aids are tuned and identified.

3. The flaps are extended as required.

4. The landing gear is extended when cleared.

5. The landing checklist is completed.

**Notes:**

Stabilized approach criteria must be met.",APPROACH,success,,,1.366,1.17,"[5.0, 4.0, 4.0]",0.963,2.329
Text,What are the steps for landing?,nan,N2,Yes,12/10/2025,What are the steps for landing?,,,,"**Procedure:**

LANDING

**Conditions:**

Aircraft cleared to land.

**Steps:**

1. The landing configuration is confirmed.

2. The autopilot may be disconnected at minimums or earlier.

3. The aircraft is landed smoothly on main landing gear.

4. Reversers and brakes are used as required.

**Notes:**

1. Landing roll is monitored until safe taxi speed is reached.

2. Other procedures may apply depending on the specific circumstances of the landing.",LANDING,success,,,1.698,0.7233,"[5.0, 8.0, 5.0]",1.381,3.078
Text,What is the after landing procedure?,nan,N2,Yes,12/10/2025,What is the after landing procedure?,,,,"**Procedure:**

AFTER LANDING

**Conditions:**

Aircraft has vacated the runway.

**Steps:**

1. The strobe lights are set OFF.

2. The landing lights are set OFF.

3. The APU is started if required.

4. The flaps are retracted.

5. The spoilers are disarmed.

**Notes:**

Ground clearance is obtained before taxiing to stand.",AFTER LANDING,success,,,1.496,0.7,"[5.0, 5.0, 8.0]",0.838,2.335
Text,How do you park and secure the aircraft?,nan,N2,Yes,12/10/2025,How do you park and secure the aircraft?,,,,"**Procedure:**

PARKING AND SECURING AIRCRAFT

**Conditions:**

Aircraft parked at gate or stand.

**Steps:**

:[{ 

**Notes:**

A full securing checklist is completed before leaving cockpit.",PARKING AND SECURING AIRCRAFT,success,,,1.63,0.92,"[6.0, 5.0, 1.0]",0.578,2.208
Text,What is the procedure for an engine fire on the ground?,nan,N2,Yes,12/10/2025,What is the procedure for an engine fire on the ground?,,,,"**Procedure:**

ENGINE FIRE ON GROUND

**Conditions:**

Fire warning in engine during taxi or rejected takeoff.

**Steps:**

1. 1. The ENGINE MASTER of the affected engine is set to OFF.

2. 2. The ENG FIRE pushbutton of the affected engine is pressed.

3. 3. The AGENT 1 pushbutton is discharged.

4. 4. If the fire continues, the AGENT 2 pushbutton is discharged.

5. 5. Air Traffic Control is informed.

**Notes:**

 - If the fire cannot be extinguished, an immediate evacuation is initiated.",ENGINE FIRE ON GROUND,success,,,1.968,0.8733,"[6.0, 6.0, 1.0]",1.275,3.243
Text,How to handle an engine fire in flight?,nan,N2,Yes,12/10/2025,How to handle an engine fire in flight?,,,,"**Procedure:**

ENGINE FIRE IN FLIGHT

**Conditions:**

Fire warning in engine during flight.

**Steps:**

1. 1. The thrust lever of the affected engine is set to IDLE.

2. 2. The ENGINE MASTER of the affected engine is set to OFF.

3. 3. The ENG FIRE pushbutton of the affected engine is pressed.

4. 4. The AGENT 1 pushbutton is discharged.

5. 5. If the fire continues, the AGENT 2 pushbutton is discharged.

6. 6. Speed and altitude are adjusted for a possible immediate landing.

**Notes:**

- Air Traffic Control is contacted for diversion and emergency landing.",ENGINE FIRE IN FLIGHT,success,,,2.158,0.8167,"[6.0, 6.0, 10.0]",1.313,3.472
Text,What is the procedure for a rapid decompression?,nan,N2,Yes,12/10/2025,What is the procedure for a rapid decompression?,,,,"**Procedure:**

RAPID DECOMPRESSION

**Conditions:**

Sudden loss of cabin pressure.

**Steps:**

1. Oxygen masks are set ON with 100% oxygen.

2. Crew communication is established.

3. An emergency descent is initiated if required.

4. The seat belt signs are set to ON.

5. Cabin crew and passengers are informed.

**Notes:**

A safe altitude below 10,000 ft is reached as soon as possible.",RAPID DECOMPRESSION,success,,,1.715,1.0433,"[7.0, 11.0, 7.0]",0.892,2.607
Text,Explain the stall recovery maneuver.,nan,N2,Yes,12/10/2025,Explain the stall recovery maneuver.,,,,"**Procedure:**

STALL RECOVERY

**Conditions:**

Indication of stall or stall warning.

**Steps:**

1. Pitch attitude is reduced.

2. Bank angle is leveled.

3. Thrust is applied as required.

4. Speed brakes are retracted.

5. If in landing configuration, flaps are maintained and landing gear is retracted if necessary.

**Notes:**

Aerodynamic recovery is prioritized before any other action.",STALL RECOVERY,success,,,1.503,1.08,"[7.0, 9.0, 8.0]",1.038,2.541
Text,What should I do in case of unreliable airspeed?,nan,N2,Yes,12/10/2025,What should I do in case of unreliable airspeed?,,,,"**Procedure:**

UNRELIABLE AIRSPEED

**Conditions:**

Inconsistent or unreliable speed indications.

**Steps:**

1. The autopilot is set to OFF.

2. The autothrust is set to OFF.

3. The flight directors are set to OFF.

4. Pitch and thrust are adjusted according to reference tables.

5. If necessary, attitude and power are used as the primary reference.

**Notes:**

Abrupt maneuvers are avoided until reliable parameters are confirmed.",UNRELIABLE AIRSPEED,success,,,1.641,1.3,"[8.0, 4.0, 11.0]",1.106,2.747
Text,How to react to a TCAS RA?,nan,N2,Yes,12/10/2025,How to react to a TCAS RA?,,,,"**Procedure:**

TCAS RA

**Conditions:**

Resolution advisory from TCAS.

**Steps:**

1. The autopilot is disconnected.

2. The pitch guidance from TCAS is followed.

3. No maneuver is made opposite to the RA order.

4. When clear, the aircraft returns to the original flight path.

**Notes:**

Immediate compliance is mandatory.",TCAS RA,success,,,1.434,1.1267,"[8.0, 3.0, 11.0]",0.99,2.424
Text,What is the go-around procedure?,nan,N2,Yes,12/10/2025,What is the go-around procedure?,,,,"**Procedure:**

GO-AROUND

**Conditions:**

Need to abort landing.

**Steps:**

1. The thrust levers are set to TOGA.

2. The flaps are set according to the procedure.

3. When positive climb is confirmed, the landing gear is retracted.

4. The flight path is established.

5. Air Traffic Control is informed.

**Notes:**

The published missed approach procedure is followed.",GO-AROUND,success,,,1.553,1.12,"[8.0, 9.0, 5.0]",0.949,2.502
Text,Explain the rejected takeoff procedure.,nan,N2,Yes,12/10/2025,Explain the rejected takeoff procedure.,,,,"**Procedure:**

REJECTED TAKEOFF

**Conditions:**

Critical event detected before V1.

**Steps:**

1. The thrust levers are set to IDLE.

2. The reversers are deployed to maximum.

3. Braking is applied to maximum.

4. Air Traffic Control is informed.

5. If required, an evacuation is initiated.

**Notes:**

_No data available_",REJECTED TAKEOFF,success,,,1.38,0.8767,"[9.0, 3.0, 8.0]",1.144,2.525
Text,What is the ditching procedure?,nan,N2,Yes,12/10/2025,What is the ditching procedure?,,,,"**Procedure:**

DITCHING

**Conditions:**

Forced landing on water.

**Steps:**

1. The ditching pushbutton is pressed.

2. Cabin crew and passengers are informed.

3. The approach is configured with landing gear up.

4. The impact is prepared with the brace position.

**Notes:**

Air Traffic Control and SAR are contacted if possible.",DITCHING,success,,,1.464,1.0733,"[9.0, 7.0, 5.0]",1.309,2.772
Text,How is an evacuation initiated?,nan,N2,Yes,12/10/2025,How is an evacuation initiated?,,,,"**Procedure:**

EVACUATION

**Conditions:**

Order to evacuate the aircraft.

**Steps:**

1. The parking brake is set ON.

2. The evacuation command is initiated.

3. Both engine masters are set to OFF.

4. The APU is set to OFF.

5. Air Traffic Control is informed.

**Notes:**

The crew directs passengers to the safe exits.",EVACUATION,success,,,1.52,0.94,"[9.0, 9.0, 6.0]",0.881,2.401
Text,What is the procedure for a loss of braking?,nan,N2,Yes,12/10/2025,What is the procedure for a loss of braking?,,,,"**Procedure:**

LOSS OF BRAKING

**Conditions:**

Loss of braking during landing or taxi.

**Steps:**

1. 1. The reversers are set to MAX.

2. 2. Brake pedals are released.

3. 3. The anti-skid and nose wheel steering are set to OFF.

4. 4. Brake pedals are pressed again.

5. 5. If braking is not restored, the parking brake is applied in short intervals.

**Notes:**

- Prolonged use of the parking brake is avoided to prevent wheel lock.",LOSS OF BRAKING,success,,,1.756,0.9667,"[10.0, 7.0, 5.0]",1.483,3.238
Text,What to do if there is smoke or fumes?,nan,N2,Yes,12/10/2025,What to do if there is smoke or fumes?,,,,"**Procedure:**

SMOKE OR FUMES

**Conditions:**

Detection of smoke or fumes in the cabin or avionics.

**Steps:**

1. 1. Oxygen masks are set ON with 100% oxygen.

2. 2. Crew communication is established.

3. 3. If necessary, smoke or fumes removal procedures are applied.

4. 4. Ventilation conditions are adjusted.

**Notes:**

If smoke persists, an immediate diversion is recommended.",SMOKE OR FUMES,success,,,1.597,1.21,"[10.0, 6.0, 6.0]",1.098,2.695
Text,How to manage a fuel leak?,nan,N2,Yes,12/10/2025,How to manage a fuel leak?,,,,"**Procedure:**

FUEL LEAK

**Conditions:**

Indications of a fuel leak.

**Steps:**

1. The ENGINE MASTER of the affected engine is set to OFF.

2. The IDG of the affected engine is set to OFF.

3. Air Traffic Control is informed.

4. Fuel imbalance is monitored.

**Notes:**

If safety is compromised, an immediate landing is performed.",FUEL LEAK,success,,,1.426,1.2133,"[10.0, 7.0, 11.0]",1.153,2.578
Text,What are the steps for an emergency descent?,nan,N2,Yes,12/10/2025,What are the steps for an emergency descent?,,,,"**Procedure:**

EMERGENCY DESCENT

**Conditions:**

Urgent need to lose altitude rapidly.

**Steps:**

1. Oxygen masks are set ON with 100% oxygen.

2. Crew communication is established.

3. Speed is set to maximum or appropriate.

4. Spoilers are set to full.

5. The selected altitude is confirmed and descent is initiated.

**Notes:**

Air Traffic Control is informed as soon as possible.",EMERGENCY DESCENT,success,,,1.609,0.8333,"[11.0, 9.0, 9.0]",1.0,2.609
Text,What is the EGPWS warning procedure?,nan,N2,Yes,12/10/2025,What is the EGPWS warning procedure?,,,,"**Procedure:**

EGPWS WARNING (TERRAIN / PULL UP)

**Conditions:**

Ground proximity warning from EGPWS.

**Steps:**

1. 1. The autopilot is disconnected.

2. 2. The side stick is pulled fully back.

3. 3. Thrust is set to TOGA.

4. 4. Wings are leveled.

5. 5. Configuration is maintained until clear of terrain.

**Notes:**

Visual confirmation of terrain is not attempted before maneuvering.",EGPWS WARNING (TERRAIN / PULL UP),success,,,1.703,1.0867,"[11.0, 10.0, 9.0]",1.226,2.929
Text,How to perform a windshear escape maneuver?,nan,N2,Yes,12/10/2025,How to perform a windshear escape maneuver?,,,,"**Procedure:**

WINDSHEAR ESCAPE MANEUVER

**Conditions:**

Encounter with windshear.

**Steps:**

1. The thrust levers are set to TOGA.

2. The autopilot is kept ON if appropriate.

3. The SRS orders are followed.

4. Configuration is not changed until out of windshear.

**Notes:**

The priority is to avoid loss of control and maintain a safe climb.",WINDSHEAR ESCAPE MANEUVER,success,,,1.57,1.0033,"[11.0, 11.0, 8.0]",1.217,2.787
Text,Can you list the actions for the preflight procedure?,nan,N2,Yes,12/10/2025,Can you list the actions for the preflight procedure?,,,,"**Procedure:**

PREFLIGHT PROCEDURE

**Conditions:**

Aircraft is on ground and secured before flight.

**Steps:**

1. The aircraft documents are checked.

2. The circuit breakers are confirmed in normal position.

3. The battery switches are set to ON.

4. The external power is connected if available.

5. The ADIRS selectors are set to NAV.

6. The oxygen pressure is checked.

**Notes:**

Ensure all required equipment is onboard and serviceable.",PREFLIGHT PROCEDURE,success,,,1.727,0.8767,"[1.0, 9.0, 1.0]",0.922,2.649
Text,What does the cockpit preparation involve?,nan,N2,Yes,12/10/2025,What does the cockpit preparation involve?,,,,"**Procedure:**

COCKPIT PREPARATION

**Conditions:**

Before engine start.

**Steps:**

1. The overhead panel is checked.

2. The fuel quantity is checked.

3. The flight plan is entered into the MCDU.

4. The flight instruments are checked and set.

5. The takeoff performance data is inserted.

6. The briefing is completed.

**Notes:**

1. All systems must be set according to the flight crew operating manual.

2. Ensure all required equipment is onboard and serviceable.",COCKPIT PREPARATION,success,,,1.613,0.91,"[1.0, 4.0, 1.0]",1.173,2.787
Text,Tell me the steps to start the engines.,nan,N2,Yes,12/10/2025,Tell me the steps to start the engines.,,,,"**Procedure:**

ENGINE START

**Conditions:**

Aircraft ready for engine start.

**Steps:**

1. The beacon light is set to ON.

2. The parking brake is set.

3. The engine mode selector is set to IGN/START.

4. The engine master switch is set to ON for the engine to be started.

5. Engine parameters are monitored until stabilized.

**Notes:**

Ground crew is informed before start.",ENGINE START,success,,,1.607,0.8833,"[2.0, 3.0, 2.0]",0.943,2.551
Text,What is involved in the before taxi checklist?,nan,N2,Yes,12/10/2025,What is involved in the before taxi checklist?,,,,"**Procedure:**

BEFORE TAXI

**Conditions:**

Engines stabilized and ready to taxi.

**Steps:**

1. The ground equipment is cleared.

2. The flaps are set for takeoff.

3. The flight controls are checked.

4. The flight instruments are cross-checked.

5. The taxi clearance is obtained.

**Notes:**

_No data available_",BEFORE TAXI,success,,,1.306,0.9533,"[2.0, 2.0, 3.0]",0.794,2.1
Text,What are the key points of the taxi procedure?,nan,N2,Yes,12/10/2025,What are the key points of the taxi procedure?,,,,"**Procedure:**

TAXI

**Conditions:**

Taxi clearance received.

**Steps:**

1. The taxi lights are set ON.

2. The brakes are checked.

3. The nose wheel steering is confirmed operative.

4. The taxi route is followed as cleared.

**Notes:**

Taxi speed is limited according to airport procedures.",TAXI,success,,,1.269,0.7733,"[2.0, 2.0, 5.0]",0.835,2.103
Text,Outline the before takeoff procedure.,nan,N2,Yes,12/10/2025,Outline the before takeoff procedure.,,,,"**Procedure:**

BEFORE TAKEOFF

**Conditions:**

Lined up or ready for takeoff clearance.

**Steps:**

1. The cabin is secured.

2. The takeoff runway is confirmed.

3. The TCAS is set to TA/RA.

4. The packs are set according to requirement.

5. The flight attendants are advised.

**Notes:**

Final takeoff checklist is completed.",BEFORE TAKEOFF,success,,,1.515,0.6167,"[3.0, 3.0, 9.0]",0.707,2.222
Text,What are the steps to follow for takeoff?,nan,N2,Yes,12/10/2025,What are the steps to follow for takeoff?,,,,"**Procedure:**

TAKEOFF

**Conditions:**

Takeoff clearance received.

**Steps:**

1. The thrust levers are set to TOGA or FLEX.

2. The aircraft is maintained on centerline.

3. Rotation is performed at VR.

4. Positive climb is confirmed.

5. The landing gear is retracted.

**Notes:**

Monitor engine and flight parameters continuously.",TAKEOFF,success,,,1.46,0.63,"[3.0, 3.0, 3.0]",1.032,2.492
Text,Can you describe the after takeoff and climb procedure?,nan,N2,Yes,12/10/2025,Can you describe the after takeoff and climb procedure?,,,,"**Procedure:**

AFTER TAKEOFF AND CLIMB

**Conditions:**

After initial climb out.

**Steps:**

1. The landing gear is retracted.

2. The flaps and slats are retracted on schedule.

3. The climb thrust is set.

4. The autopilot is engaged if desired.

5. The after takeoff checklist is completed.

**Notes:**

Transition altitude is observed for setting standard pressure.",AFTER TAKEOFF AND CLIMB,success,,,1.494,0.68,"[3.0, 3.0, 8.0]",1.054,2.548
Text,What tasks are performed during the cruise phase of flight?,nan,N2,Yes,12/10/2025,What tasks are performed during the cruise phase of flight?,,,,The question does not match with the context provided.,,no_match,,,0.71,0.96,"[4.0, 1.0, 3.0]",0.076,0.786
Text,How is the descent preparation carried out?,nan,N2,Yes,12/10/2025,How is the descent preparation carried out?,,,,"**Procedure:**

DESCENT PREPARATION

**Conditions:**

Aircraft approaching top of descent.

**Steps:**

1. The descent clearance is obtained.

2. The STAR and approach are reviewed and inserted.

3. The landing performance is calculated.

4. The briefing is completed.

5. The seat belt signs are set ON.

**Notes:**

Weather and ATIS information is obtained in advance.",DESCENT PREPARATION,success,,,1.497,0.9633,"[4.0, 11.0, 3.0]",0.988,2.485
Text,Can you detail the approach procedure?,nan,N2,Yes,12/10/2025,Can you detail the approach procedure?,,,,"**Procedure:**

APPROACH

**Conditions:**

Aircraft established on approach path.

**Steps:**

1. The approach mode is armed.

2. The navigation aids are tuned and identified.

3. The flaps are extended as required.

4. The landing gear is extended when cleared.

5. The landing checklist is completed.

**Notes:**

Stabilized approach criteria must be met.",APPROACH,success,,,1.391,1.02,"[5.0, 4.0, 4.0]",0.896,2.286
Text,What are the actions for a normal landing?,nan,N2,Yes,12/10/2025,What are the actions for a normal landing?,,,,"**Procedure:**

LANDING

**Conditions:**

Aircraft cleared to land.

**Steps:**

1. The landing configuration is confirmed.

2. The autopilot may be disconnected at minimums or earlier.

3. The aircraft is landed smoothly on main landing gear.

4. Reversers and brakes are used as required.

**Notes:**

1. Landing roll is monitored until safe taxi speed is reached.

2. Air Traffic Control is informed as soon as possible.",LANDING,success,,,1.617,0.8667,"[5.0, 9.0, 8.0]",1.153,2.771
Text,What is done immediately after landing?,nan,N2,Yes,12/10/2025,What is done immediately after landing?,,,,"**Procedure:**

AFTER LANDING

**Conditions:**

Aircraft has vacated the runway.

**Steps:**

1. The strobe lights are set OFF.

2. The landing lights are set OFF.

3. The APU is started if required.

4. The flaps are retracted.

5. The spoilers are disarmed.

**Notes:**

Ground clearance is obtained before taxiing to stand.",AFTER LANDING,success,,,1.383,0.7567,"[5.0, 5.0, 9.0]",0.848,2.231
Text,Describe how to park and secure the plane.,nan,N2,Yes,12/10/2025,Describe how to park and secure the plane.,,,,"**Procedure:**

PARKING AND SECURING AIRCRAFT

**Conditions:**

Aircraft parked at gate or stand.

**Steps:**

1. The parking brake is set.

2. The beacon light is set OFF.

3. The engines are shut down with ENGINE MASTER set to OFF.

4. The seat belt signs are set OFF.

5. The external power is connected if available.

6. The ADIRS selectors are set to OFF.

**Notes:**

A full securing checklist is completed before leaving cockpit.",PARKING AND SECURING AIRCRAFT,success,,,1.71,0.93,"[6.0, 5.0, 1.0]",0.921,2.63
Text,What is the emergency procedure for an engine fire on the ground?,nan,N2,Yes,12/10/2025,What is the emergency procedure for an engine fire on the ground?,,,,"**Procedure:**

ENGINE FIRE ON GROUND

**Conditions:**

Fire warning in engine during taxi or rejected takeoff.

**Steps:**

1. The ENGINE MASTER of the affected engine is set to OFF.

2. The ENG FIRE pushbutton of the affected engine is pressed.

3. The AGENT 1 pushbutton is discharged.

4. If the fire continues, the AGENT 2 pushbutton is discharged.

5. Air Traffic Control is informed.

**Notes:**

_No data available_",ENGINE FIRE ON GROUND,success,,,1.585,0.7833,"[6.0, 6.0, 9.0]",1.144,2.729
Text,"If an engine catches fire in flight, what is the procedure?",nan,N2,Yes,12/10/2025,"If an engine catches fire in flight, what is the procedure?",,,,"**Procedure:**

ENGINE FIRE IN FLIGHT

**Conditions:**

Fire warning in engine during flight.

**Steps:**

1. 1. The thrust lever of the affected engine is set to IDLE.

2. 2. The ENGINE MASTER of the affected engine is set to OFF.

3. 3. The ENG FIRE pushbutton of the affected engine is pressed.

4. 4. The AGENT 1 pushbutton is discharged.

5. 5. If the fire continues, the AGENT 2 pushbutton is discharged.

6. 6. Speed and altitude are adjusted for a possible immediate landing.

**Notes:**

- Air Traffic Control is contacted for diversion and emergency landing.",ENGINE FIRE IN FLIGHT,success,,,2.051,0.7733,"[6.0, 6.0, 10.0]",1.356,3.407
Text,What is the immediate response to a rapid decompression?,nan,N2,Yes,12/10/2025,What is the immediate response to a rapid decompression?,,,,"**Procedure:**

RAPID DECOMPRESSION

**Conditions:**

Sudden loss of cabin pressure.

**Steps:**

1. Oxygen masks are set ON with 100% oxygen.

2. Crew communication is established.

3. An emergency descent is initiated if required.

4. The seat belt signs are set to ON.

5. Cabin crew and passengers are informed.

**Notes:**

A safe altitude below 10,000 ft is reached as soon as possible.",RAPID DECOMPRESSION,success,,,1.61,1.1167,"[7.0, 11.0, 7.0]",1.141,2.75
Text,How do you recover from a stall?,nan,N2,Yes,12/10/2025,How do you recover from a stall?,,,,"**Procedure:**

STALL RECOVERY

**Conditions:**

Indication of stall or stall warning.

**Steps:**

1. Pitch attitude is reduced.

2. Bank angle is leveled.

3. Thrust is applied as required.

4. Speed brakes are retracted.

5. If in landing configuration, flaps are maintained and landing gear is retracted if necessary.

**Notes:**

Aerodynamic recovery is prioritized before any other action.",STALL RECOVERY,success,,,1.538,1.0667,"[7.0, 7.0, 8.0]",1.107,2.645
Text,What actions are taken for an unreliable airspeed indication?,nan,N2,Yes,12/10/2025,What actions are taken for an unreliable airspeed indication?,,,,"**Procedure:**

UNRELIABLE AIRSPEED

**Conditions:**

Inconsistent or unreliable speed indications.

**Steps:**

1. The autopilot is set to OFF.

2. The autothrust is set to OFF.

3. The flight directors are set to OFF.

4. Pitch and thrust are adjusted according to reference tables.

5. If necessary, attitude and power are used as the primary reference.

**Notes:**

Abrupt maneuvers are avoided until reliable parameters are confirmed.",UNRELIABLE AIRSPEED,success,,,1.621,1.19,"[8.0, 4.0, 10.0]",1.205,2.826
Text,What does the TCAS RA procedure entail?,nan,N2,Yes,12/10/2025,What does the TCAS RA procedure entail?,,,,"**Procedure:**

TCAS RA

**Conditions:**

Resolution advisory from TCAS.

**Steps:**

1. 1. The autopilot is disconnected.

2. 2. The pitch guidance from TCAS is followed.

3. 3. No maneuver is made opposite to the RA order.

4. 4. When clear, the aircraft returns to the original flight path.

**Notes:**

Immediate compliance is mandatory.",TCAS RA,success,,,1.488,0.9767,"[8.0, 3.0, 5.0]",1.222,2.711
Text,How do you execute a go-around?,nan,N2,Yes,12/10/2025,How do you execute a go-around?,,,,"**Procedure:**

GO-AROUND

**Conditions:**

Need to abort landing.

**Steps:**

1. The thrust levers are set to TOGA.

2. The flaps are set according to the procedure.

3. When positive climb is confirmed, the landing gear is retracted.

4. The flight path is established.

5. Air Traffic Control is informed.

**Notes:**

The published missed approach procedure is followed.",GO-AROUND,success,,,1.568,1.23,"[8.0, 11.0, 5.0]",1.033,2.602
Text,What is the procedure if you have to reject a takeoff?,nan,N2,Yes,12/10/2025,What is the procedure if you have to reject a takeoff?,,,,"**Procedure:**

REJECTED TAKEOFF

**Conditions:**

Critical event detected before V1.

**Steps:**

1. The thrust levers are set to IDLE.

2. The reversers are deployed to maximum.

3. Braking is applied to maximum.

4. Air Traffic Control is informed.

5. If required, an evacuation is initiated.

**Notes:**

_No data available_",REJECTED TAKEOFF,success,,,1.311,0.8433,"[9.0, 3.0, 8.0]",1.024,2.335
Text,Can you explain the procedure for landing on the water?,nan,N2,Yes,12/10/2025,Can you explain the procedure for landing on the water?,,,,"**Procedure:**

DITCHING

**Conditions:**

Forced landing on water.

**Steps:**

1. The ditching pushbutton is pressed.

2. Cabin crew and passengers are informed.

3. The approach is configured with landing gear up.

4. The impact is prepared with the brace position.

**Notes:**

Air Traffic Control and SAR are contacted if possible.",DITCHING,success,,,1.477,0.94,"[9.0, 8.0, 5.0]",0.83,2.306
